36,0.35061,37.12412668,1.230573,0.824497
33.8,0.176428,35.20389392,0.579028,0.095695
39.2,0.116366,40.32520436,0.376971,0.10248
33.6,0.08772,35.41518224,0.27842,0.678096
35.8,0.069829,36.84878119,0.219807,0.953795
41,0.057858,42.83210568,0.181488,0.963819
42.5,0.049299,43.91637734,0.152394,0.002672
36.8,0.043202,37.86661243,0.133467,0.081722
44.7,0.038125,45.78457447,0.117431,0.656491
44.3,0.033999,45.98015495,0.103092,0.557443
44.3,0.030888,45.82954531,0.094738,0.817289
47.4,0.028035,48.61275266,0.083649,0.682739
50.9,0.02575,52.17206959,0.076798,0.947909
47.3,0.024014,49.04184101,0.070938,0.884196
52.2,0.022182,53.68165004,0.066743,0.829916
47,0.020792,48.5261767,0.061722,0.506334
53.7,0.019418,55.03720066,0.057889,0.745702
53.6,0.018374,54.79977077,0.053816,0.237404
54.9,0.017299,56.24488631,0.05088,0.641783
53,0.01641,54.30316874,0.048973,0.640319
55.3,0.015639,56.98806341,0.045629,0.318978
55.4,0.014933,56.89886383,0.044507,0.896028
54.8,0.014271,56.11664455,0.041675,0.589226
56,0.01357,57.04272763,0.040237,0.741161
52.1,0.013037,53.59013555,0.038178,0.72116
55.7,0.012528,57.2876984,0.036559,0.149916
53.2,0.012098,55.05396139,0.035514,0.572153
54.8,0.011582,56.32781829,0.03379,0.821904
55.4,0.01119,57.09801282,0.032325,0.537286
57.1,0.010803,58.33054126,0.031883,0.411387
53.6,0.010474,54.86696371,0.030506,0.697555
53.6,0.324744,54.77010268,1.17475,0.47548
55.2,0.16162,57.19380015,0.478313,0.250997
55.6,0.107859,57.41277898,0.315027,0.864176
51.6,0.081013,52.83255309,0.234518,0.80969
58,0.064634,59.52876022,0.185956,0.904554
55.3,0.053601,56.36902341,0.157402,0.780433
57.2,0.046021,58.20498261,0.134197,0.406984
56.5,0.040302,57.87055541,0.118246,0.064656
56.5,0.035772,57.85739039,0.104618,0.090069
55.9,0.03219,57.28873179,0.092246,0.593017
54.6,0.02929,55.6068291,0.083543,0.457667
57.2,0.026795,59.10055303,0.076621,0.649804
55,0.024775,56.98858774,0.071515,0.559943
55,0.022985,56.89246493,0.066834,0.620693
55.9,0.021375,56.90524636,0.061156,0.222651
57.6,0.019983,58.79195736,0.057942,0.303365
57.8,0.018782,59.46115236,0.053976,0.349657
56.8,0.017748,58.00152971,0.050962,0.631008
57.1,0.016888,58.50977061,0.048083,0.257666
58.4,0.015945,60.10375617,0.045864,0.596971
58.1,0.015226,59.28162801,0.043673,0.977095
57.3,0.014541,58.95356045,0.042189,0.882349
58.6,0.013888,59.97805111,0.040721,0.739057
55.6,0.013388,57.40054442,0.038021,0.294388
58.5,0.01275,60.14286546,0.036926,0.726011
57.2,0.012266,58.77250153,0.034853,0.16032
57,0.011814,58.57568812,0.03389,0.11692
57.1,0.0114,58.36901621,0.032375,0.364795
56.5,0.010958,58.26257386,0.031271,0.594457
59.3,0.010645,60.60415201,0.030978,0.07505
58.1,0.010307,59.99010566,0.029532,0.691037
58.5,0.318974,59.95584256,1.144293,0.897729
57.7,0.159123,58.84004584,0.451809,0.586877
58.4,0.105672,59.99663291,0.300111,0.959768
58.4,0.07926,59.41703355,0.224829,0.556443
56.6,0.063661,58.42843581,0.179378,0.659655
57.4,0.052745,58.88196359,0.147944,0.8198
58.8,0.04507,60.02756246,0.129208,0.112968
59,0.039599,60.55450775,0.113491,0.633456
58.1,0.035082,60.00505854,0.099404,0.619552
56.2,0.031642,58.1298005,0.091876,0.004699
58.6,0.028653,60.4226278,0.081127,0.945041
56,0.026426,57.0338983,0.075427,0.557527
58.2,0.024336,59.53108987,0.069783,0.123245
59.1,0.022594,60.45962658,0.063847,0.284825
56,0.021206,57.99548052,0.061239,0.256281
59.1,0.019771,60.46633711,0.055741,0.226155
58.8,0.018487,59.98826758,0.051854,0.733361
58,0.017522,59.40396995,0.049832,0.989679
58.3,0.016637,60.07575277,0.04764,0.945551
