3.31E+01,4.39E-02,3.48E+01,1.37E-01
3.31E+01,3.91E-02,3.44E+01,1.22E-01
3.31E+01,3.52E-02,3.42E+01,1.10E-01
3.31E+01,3.20E-02,3.32E+01,9.99E-02
3.31E+01,2.93E-02,3.13E+01,9.16E-02
3.31E+01,2.70E-02,3.37E+01,8.45E-02
3.31E+01,2.51E-02,3.14E+01,7.85E-02
3.31E+01,2.34E-02,3.38E+01,7.32E-02
3.31E+01,2.20E-02,3.17E+01,6.87E-02
3.31E+01,2.07E-02,3.48E+01,6.46E-02
3.31E+01,1.95E-02,3.41E+01,6.10E-02
3.31E+01,1.85E-02,3.33E+01,5.78E-02
3.31E+01,1.76E-02,3.33E+01,5.49E-02
3.31E+01,1.67E-02,3.15E+01,5.23E-02
3.31E+01,1.60E-02,3.14E+01,4.99E-02
3.38E+01,1.53E-02,3.42E+01,4.78E-02
3.31E+01,1.46E-02,3.17E+01,4.58E-02
3.31E+01,1.41E-02,3.39E+01,4.39E-02
3.31E+01,1.35E-02,3.16E+01,4.23E-02
3.31E+01,1.30E-02,3.35E+01,4.07E-02
3.31E+01,1.26E-02,3.31E+01,3.92E-02
3.38E+01,1.21E-02,3.26E+01,3.79E-02
3.38E+01,1.17E-02,3.52E+01,3.66E-02
3.38E+01,1.13E-02,3.52E+01,3.54E-02
3.31E+01,3.52E-01,3.21E+01,1.37E+00
3.38E+01,1.76E-01,3.39E+01,5.49E-01
3.38E+01,1.17E-01,3.42E+01,3.66E-01
3.38E+01,8.79E-02,3.32E+01,2.75E-01
3.31E+01,7.03E-02,3.28E+01,2.20E-01
3.31E+01,5.86E-02,3.46E+01,1.83E-01
3.31E+01,5.02E-02,3.14E+01,1.57E-01
3.31E+01,4.39E-02,3.24E+01,1.37E-01
3.31E+01,3.91E-02,3.27E+01,1.22E-01
3.31E+01,3.52E-02,3.20E+01,1.10E-01
3.31E+01,3.20E-02,3.37E+01,9.99E-02
3.31E+01,2.93E-02,3.20E+01,9.16E-02
3.31E+01,2.70E-02,3.45E+01,8.45E-02
3.31E+01,2.51E-02,3.50E+01,7.85E-02
3.31E+01,2.34E-02,3.36E+01,7.32E-02
3.38E+01,2.20E-02,3.49E+01,6.87E-02
3.38E+01,2.07E-02,3.20E+01,6.46E-02
3.31E+01,1.95E-02,3.16E+01,6.10E-02
3.31E+01,1.85E-02,3.42E+01,5.78E-02
3.31E+01,1.76E-02,3.49E+01,5.49E-02
3.31E+01,1.67E-02,3.27E+01,5.23E-02
3.31E+01,1.60E-02,3.36E+01,4.99E-02
3.31E+01,1.53E-02,3.42E+01,4.78E-02
3.31E+01,1.46E-02,3.13E+01,4.58E-02
3.31E+01,1.41E-02,3.11E+01,4.39E-02
3.31E+01,1.35E-02,3.44E+01,4.23E-02
3.31E+01,1.30E-02,3.36E+01,4.07E-02
3.38E+01,1.26E-02,3.20E+01,3.92E-02
3.38E+01,1.21E-02,3.55E+01,3.79E-02
3.31E+01,1.17E-02,3.47E+01,3.66E-02
3.31E+01,1.13E-02,3.12E+01,3.54E-02
